number,model,color,mhncl_R,mhncl_G,mhncl_B,ipccncl_r,ipccncl_g,ipccncl_b,mh_r,mh_g,mh_b,ipcc_r,ipcc_g,ipcc_b
1,AWI-ESM-1-1-LR,darkorange2,238,118,0,153,0,255,0.933333333,0.462745098,0,0.6,0,1
2,CESM2,darkturquoise,0,206,209,67,178,216,0,0.807843137,0.819607843,0.262745098,0.698039216,0.847058824
3,EC-Earth3-LR,deeppink2,238,18,137,124,99,184,0.933333333,0.070588235,0.537254902,0.48627451,0.388235294,0.721568627
4,FGOALS-f3-L,blue4,0,0,139,248,154,28,0,0,0.545098039,0.97254902,0.603921569,0.109803922
5,FGOALS-g3,lightblue1,191,239,255,248,154,28,0.749019608,0.937254902,1,0.97254902,0.603921569,0.109803922
6,GISS-E2-1-G,magenta4,139,0,139,119,29,123,0.545098039,0,0.545098039,0.466666667,0.11372549,0.482352941
7,HadGEM3-GC31-LL,green4,0,139,0,122,139,38,0,0.545098039,0,0.478431373,0.545098039,0.149019608
8,INM-CM4-8,firebrick,178,34,34,247,67,67,0.698039216,0.133333333,0.133333333,0.968627451,0.262745098,0.262745098
9,IPSL-CM6A-LR,chocolate4,139,69,19,91,83,174,0.545098039,0.270588235,0.074509804,0.356862745,0.325490196,0.682352941
10,MIROC-ES2L,purple,160,32,240,184,95,182,0.62745098,0.125490196,0.941176471,0.721568627,0.37254902,0.71372549
11,MPI-ESM1-2-LR,brown4,139,35,35,93,161,162,0.545098039,0.137254902,0.137254902,0.364705882,0.631372549,0.635294118
12,MRI-ESM2-0,darkseagreen4,105,139,105,173,255,47,0.411764706,0.545098039,0.411764706,0.678431373,1,0.184313725
13,NESM3,cyan4,0,139,139,174,170,170,0,0.545098039,0.545098039,0.682352941,0.666666667,0.666666667
14,NorESM1-F,dodgerblue2,16,78,139,241,58,167,0.062745098,0.305882353,0.545098039,0.945098039,0.22745098,0.654901961
15,NorESM2-LM,darkgoldenrod2,238,173,14,241,58,167,0.933333333,0.678431373,0.054901961,0.945098039,0.22745098,0.654901961
16,UofT-CCSM-4,yellow3,205,205,0,,,,0.803921569,0.803921569,0,0.803921569,0.803921569,0