,model,r,g,b,pi_sic_min,diff_sic,dT
1,AWI-ESM-1-1-LR,0.933333333,0.462745098,0,7.63,-0.3,-0.62
2,CESM2,0,0.807843137,0.819607843,6.96,-1.63,0.13
3,EC-Earth3-LR,0.933333333,0.070588235,0.537254902,11,-1.94,1.3
6,GISS-E2-1-G,0.545098039,0,0.545098039,10.45,-1.81,0.43
7,HadGEM3-GC31,0,0.545098039,0,7.12,-2.39,0.79
8,INM-CM4-8,0.698039216,0.133333333,0.133333333,9.5,-0.76,-0.04
9,IPSL-CM6A-LR,0.545098039,0.270588235,0.074509804,7.69,-0.88,-0.26
10,MIROC-ES2L,0.62745098,0.125490196,0.941176471,6.4,-0.61,-0.15
11,MPI-ESM1-2-LR,0.545098039,0.137254902,0.137254902,7.92,-0.97,-0.12
12,MRI-ESM2-0,0.411764706,0.545098039,0.411764706,6.97,-1.05,0.18
13,NESM3,0,0.545098039,0.545098039,7,-1.91,0.18
14,NorESM1-F,0.062745098,0.305882353,0.545098039,6.58,-0.72,-0.33
15,NorESM2-LM,0.933333333,0.678431373,0.054901961,7.62,-1.09,0.03
16,UofT-CCSM-4,0.803921569,0.803921569,0,10.79,-0.87,0.61