location,piControl_30N,midHolocene_30N,piControl_50N,midHolocene_50N,r,g,b
AWI-ESM-1-1-LR,13.76082231,14.17389426,9.496702566,9.587777362,0.933333333,0.462745098,0
CCSM4,20.7727,20.5321,16.6698,16.2,0,0,1
CESM2,19.062,19.6255,16.56,16.8675,0,0.807843137,0.819607843
EC-Earth3-LR,15.4413,16.8591,14.3015,15.0812,0.933333333,0.070588235,0.537254902
FGOALS-f3-L,24.0049,24.5413,20.8072,21.3121,0,0,0.545098039
FGOALS-g2,23.3543,23.0021,17.8379,17.5562,0.690196078,0.878431373,0.901960784
GISS-E2-1-G,24.7605,24.8883,15.362,15.2235,0.545098039,0,0.545098039
HadGEM3-GC31,16.6307,18.1413,13.6898,14.4984,0,0.545098039,0
INM-CM4-8,18.836,18.1177,6.00811,5.74659,0.698039216,0.133333333,0.133333333
IPSL-CM6A-LR,11.8812,11.1809,11.0292,10.4262,0.545098039,0.270588235,0.074509804
MIROC-ES2L,13.87304,14.74721,12.25497,13.12272,0.62745098,0.125490196,0.941176471
MPI-ESM-P,19.3058,19.8271,16.3581,16.5716,0.5,0.5,0
MPI-ESM1-2-LR,19.8509,19.82,16.8395,16.7062,0.545098039,0.137254902,0.137254902
MRI-CGCM3,14.5778,15.5096,13.7694,14.553,0.705882353,0.933333333,0.705882353
MRI-ESM2-0,17.9034,20.1073,16.2467,16.6587,0.411764706,0.545098039,0.411764706
NorESM1-F,21.6,21.9,14.5,14.3,0.062745098,0.305882353,0.545098039
NorESM2-LM,21.2353,21.4911,13.8364,13.7843,0.933333333,0.678431373,0.054901961