lat, lon, alpha_anm_mean, alpha_se_mean, alpha_tstat,alpha_sig, alpha_sig_val,alpha_npts
   49.000000,    29.000000,        -0.0204,         0.0516,        -0.3961,         0.0000,         0.0000,     2
   51.000000,    29.000000,         0.0253,         0.0454,         0.5583,         0.0000,         0.0000,     3
   53.000000,    29.000000,         0.0630,         0.0501,         1.2584,         0.0000,         0.0000,     2
   55.000000,    29.000000,         0.0800,         0.0444,         1.8029,         0.0000,         0.0000,     2
   57.000000,    29.000000,         0.0428,         0.0360,         1.1874,         0.0000,         0.0000,     3
   59.000000,    29.000000,         0.0060,         0.0829,         0.0724,         0.0000,         0.0000,     1
   61.000000,    29.000000,        -0.0671,         0.0257,        -2.6120,        -1.0000,        -0.0671,     6
   65.000000,    29.000000,        -0.0081,         0.0387,        -0.2094,         0.0000,         0.0000,     3
   67.000000,    29.000000,         0.0175,         0.0271,         0.6478,         0.0000,         0.0000,     4
   69.000000,    29.000000,         0.0123,         0.0369,         0.3346,         0.0000,         0.0000,     3
   71.000000,    29.000000,         0.0101,         0.0270,         0.3735,         0.0000,         0.0000,     5
  -23.000000,    31.000000,        -0.0040,         0.0676,        -0.0592,         0.0000,         0.0000,     1
   -9.000000,    31.000000,         0.0619,         0.0508,         1.2183,         0.0000,         0.0000,     3
   -3.000000,    31.000000,         0.0639,         0.0290,         2.2016,         1.0000,         0.0639,     6
    1.000000,    31.000000,         0.0154,         0.0447,         0.3460,         0.0000,         0.0000,     2
   37.000000,    31.000000,         0.2223,         0.0713,         3.1178,         1.0000,         0.2223,     1
   49.000000,    31.000000,        -0.0404,         0.0373,        -1.0840,         0.0000,         0.0000,     3
   55.000000,    31.000000,         0.0529,         0.0365,         1.4521,         0.0000,         0.0000,     4
   57.000000,    31.000000,         0.0450,         0.0709,         0.6347,         0.0000,         0.0000,     1
   59.000000,    31.000000,         0.0302,         0.0303,         0.9963,         0.0000,         0.0000,     5
   61.000000,    31.000000,         0.0243,         0.0197,         1.2300,         0.0000,         0.0000,     9
   63.000000,    31.000000,         0.0086,         0.0540,         0.1593,         0.0000,         0.0000,     2
   65.000000,    31.000000,        -0.0236,         0.0264,        -0.8933,         0.0000,         0.0000,     6
   67.000000,    31.000000,         0.0017,         0.0292,         0.0571,         0.0000,         0.0000,     3
   71.000000,    31.000000,         0.0217,         0.0339,         0.6419,         0.0000,         0.0000,     3
  -29.000000,    33.000000,        -0.1550,         0.0181,        -8.5635,        -1.0000,        -0.1550,     1
   -9.000000,    33.000000,         0.1860,         0.0436,         4.2698,         1.0000,         0.1860,     4
    1.000000,    33.000000,         0.0050,         0.0082,         0.6098,         0.0000,         0.0000,     1
   47.000000,    33.000000,         0.1110,         0.0324,         3.4259,         1.0000,         0.1110,     1
   57.000000,    33.000000,         0.0740,         0.0416,         1.7788,         0.0000,         0.0000,     1
   61.000000,    33.000000,         0.0287,         0.0219,         1.3115,         0.0000,         0.0000,     7
   63.000000,    33.000000,         0.0237,         0.0309,         0.7654,         0.0000,         0.0000,     3
   65.000000,    33.000000,         0.0020,         0.0262,         0.0764,         0.0000,         0.0000,     5
    1.000000,    35.000000,         0.0039,         0.0113,         0.3445,         0.0000,         0.0000,    12
   51.000000,    35.000000,        -0.0370,         0.0257,        -1.4401,         0.0000,         0.0000,     4
   53.000000,    35.000000,        -0.0116,         0.0431,        -0.2697,         0.0000,         0.0000,     3
   57.000000,    35.000000,         0.0450,         0.0249,         1.8106,         0.0000,         0.0000,     6
   61.000000,    35.000000,         0.0325,         0.0219,         1.4880,         0.0000,         0.0000,     5
   63.000000,    35.000000,         0.0190,         0.0216,         0.8767,         0.0000,         0.0000,     6
   69.000000,    35.000000,        -0.0175,         0.0428,        -0.4089,         0.0000,         0.0000,     2
   -1.000000,    37.000000,        -0.0572,         0.0104,        -5.5101,        -1.0000,        -0.0572,     4
    1.000000,    37.000000,         0.1047,         0.0186,         5.6172,         1.0000,         0.1047,     6
   35.000000,    37.000000,         0.1710,         0.0713,         2.3983,         1.0000,         0.1710,     1
   49.000000,    37.000000,        -0.0130,         0.0515,        -0.2524,         0.0000,         0.0000,     1
   57.000000,    37.000000,         0.0366,         0.0281,         1.3032,         0.0000,         0.0000,     5
   61.000000,    37.000000,         0.0310,         0.0487,         0.6366,         0.0000,         0.0000,     1
   63.000000,    37.000000,         0.0105,         0.0265,         0.3966,         0.0000,         0.0000,     4
    7.000000,    39.000000,        -0.0251,         0.0184,        -1.3660,         0.0000,         0.0000,     8
   53.000000,    39.000000,        -0.0270,         0.0722,        -0.3740,         0.0000,         0.0000,     1
   57.000000,    39.000000,         0.0680,         0.0195,         3.4819,         1.0000,         0.0680,     9
   61.000000,    39.000000,        -0.0135,         0.0523,        -0.2584,         0.0000,         0.0000,     2
   43.000000,    41.000000,         0.0508,         0.0243,         2.0931,         1.0000,         0.0508,     6
   57.000000,    41.000000,         0.0409,         0.0281,         1.4529,         0.0000,         0.0000,     6
   63.000000,    43.000000,         0.0151,         0.0365,         0.4146,         0.0000,         0.0000,     3
   65.000000,    43.000000,         0.0040,         0.0413,         0.0969,         0.0000,         0.0000,     1
   41.000000,    45.000000,         0.0280,         0.0691,         0.4052,         0.0000,         0.0000,     1
  -19.000000,    47.000000,        -0.1117,         0.0258,        -4.3300,        -1.0000,        -0.1117,     3
   35.000000,    47.000000,         0.0567,         0.0408,         1.3887,         0.0000,         0.0000,     2
   41.000000,    47.000000,         0.0730,         0.0571,         1.2785,         0.0000,         0.0000,     1
   47.000000,    47.000000,        -0.1900,         0.0416,        -4.5673,        -1.0000,        -0.1900,     1
  -19.000000,    49.000000,         0.0310,         0.0224,         1.3839,         0.0000,         0.0000,     1
   55.000000,    49.000000,        -0.1590,         0.0431,        -3.6881,        -1.0000,        -0.1590,     3
   67.000000,    53.000000,        -0.0013,         0.0305,        -0.0416,         0.0000,         0.0000,     3
   57.000000,    57.000000,         0.0199,         0.0286,         0.6943,         0.0000,         0.0000,     4
   55.000000,    59.000000,         0.0420,         0.0251,         1.6708,         0.0000,         0.0000,     4
   47.000000,    61.000000,        -0.1020,         0.0619,        -1.6466,         0.0000,         0.0000,     3
   57.000000,    61.000000,         0.0145,         0.0270,         0.5366,         0.0000,         0.0000,     4
   55.000000,    63.000000,         0.0700,         0.0401,         1.7456,         0.0000,         0.0000,     1
   63.000000,    65.000000,         0.0038,         0.0223,         0.1687,         0.0000,         0.0000,     5
   65.000000,    65.000000,         0.0084,         0.0313,         0.2696,         0.0000,         0.0000,     3
   67.000000,    67.000000,        -0.0070,         0.0449,        -0.1559,         0.0000,         0.0000,     1
   69.000000,    67.000000,         0.0570,         0.0196,         2.9082,         1.0000,         0.0570,     1
   71.000000,    67.000000,         0.0440,         0.0480,         0.9167,         0.0000,         0.0000,     1
   59.000000,    69.000000,        -0.0033,         0.0251,        -0.1293,         0.0000,         0.0000,     6
   61.000000,    69.000000,        -0.0160,         0.0452,        -0.3540,         0.0000,         0.0000,     1
   67.000000,    69.000000,        -0.0081,         0.0281,        -0.2870,         0.0000,         0.0000,     3
   53.000000,    71.000000,        -0.0355,         0.0307,        -1.1578,         0.0000,         0.0000,     2
   67.000000,    71.000000,         0.0795,         0.0424,         1.8746,         0.0000,         0.0000,     2
   69.000000,    71.000000,         0.0943,         0.0176,         5.3675,         1.0000,         0.0943,     4
   61.000000,    73.000000,         0.0133,         0.0218,         0.6075,         0.0000,         0.0000,     5
   41.000000,    75.000000,         0.0390,         0.0342,         1.1414,         0.0000,         0.0000,     2
   49.000000,    75.000000,         0.0800,         0.0125,         6.4050,         1.0000,         0.0800,     2
   55.000000,    77.000000,         0.0265,         0.0243,         1.0894,         0.0000,         0.0000,     2
   59.000000,    77.000000,        -0.0075,         0.0194,        -0.3871,         0.0000,         0.0000,     2
   61.000000,    77.000000,         0.0208,         0.0199,         1.0471,         0.0000,         0.0000,     6
   33.000000,    79.000000,        -0.0850,         0.0291,        -2.9210,        -1.0000,        -0.0850,     1
   37.000000,    79.000000,         0.0360,         0.0467,         0.7709,         0.0000,         0.0000,     1
   57.000000,    79.000000,         0.0525,         0.0329,         1.5935,         0.0000,         0.0000,     2
   61.000000,    79.000000,         0.0248,         0.0183,         1.3560,         0.0000,         0.0000,     6
   65.000000,    79.000000,         0.0440,         0.0228,         1.9293,         0.0000,         0.0000,     2
   67.000000,    79.000000,         0.1360,         0.0250,         5.4509,         1.0000,         0.1360,     2
   33.000000,    81.000000,         0.2130,         0.0204,        10.4412,         1.0000,         0.2130,     1
   35.000000,    81.000000,         0.0220,         0.0383,         0.5744,         0.0000,         0.0000,     1
   37.000000,    81.000000,        -0.0290,         0.0436,        -0.6651,         0.0000,         0.0000,     1
   51.000000,    81.000000,         0.0985,         0.0304,         3.2440,         1.0000,         0.0985,     2
   55.000000,    81.000000,         0.0320,         0.0255,         1.2568,         0.0000,         0.0000,     6
   43.000000,    83.000000,         0.0030,         0.0304,         0.0987,         0.0000,         0.0000,     1
   45.000000,    83.000000,         0.0360,         0.0786,         0.4580,         0.0000,         0.0000,     1
   55.000000,    83.000000,         0.0045,         0.0332,         0.1354,         0.0000,         0.0000,     2
   57.000000,    83.000000,         0.0240,         0.0363,         0.6611,         0.0000,         0.0000,     2
   59.000000,    83.000000,         0.0350,         0.0316,         1.1067,         0.0000,         0.0000,     2
   71.000000,    83.000000,         0.0245,         0.0139,         1.7632,         0.0000,         0.0000,     2
   29.000000,    85.000000,         0.1890,         0.0804,         2.3507,         1.0000,         0.1890,     1
   31.000000,    85.000000,        -0.0145,         0.0261,        -0.5562,         0.0000,         0.0000,     2
   45.000000,    85.000000,         0.0030,         0.0242,         0.1240,         0.0000,         0.0000,     1
   57.000000,    85.000000,         0.0295,         0.0310,         0.9519,         0.0000,         0.0000,     4
   59.000000,    85.000000,         0.0358,         0.0234,         1.5317,         0.0000,         0.0000,     6
   69.000000,    85.000000,         0.0940,         0.0304,         3.0945,         1.0000,         0.0940,     2
   43.000000,    87.000000,         0.1020,         0.0417,         2.4490,         1.0000,         0.1020,     2
   47.000000,    87.000000,        -0.0200,         0.0347,        -0.5764,         0.0000,         0.0000,     1
   49.000000,    87.000000,        -0.0165,         0.0236,        -0.6981,         0.0000,         0.0000,     2
   61.000000,    87.000000,         0.0082,         0.0169,         0.4837,         0.0000,         0.0000,     6
   67.000000,    87.000000,         0.0290,         0.0319,         0.9099,         0.0000,         0.0000,     2
   69.000000,    87.000000,         0.0328,         0.0231,         1.4208,         0.0000,         0.0000,     4
   31.000000,    89.000000,         0.0090,         0.0385,         0.2338,         0.0000,         0.0000,     1
   37.000000,    89.000000,         0.1780,         0.0370,         4.8108,         1.0000,         0.1780,     1
   49.000000,    89.000000,         0.0935,         0.0156,         6.0090,         1.0000,         0.0935,     8
   57.000000,    89.000000,         0.0315,         0.0287,         1.0959,         0.0000,         0.0000,     2
   61.000000,    89.000000,         0.0440,         0.0301,         1.4601,         0.0000,         0.0000,     2
   41.000000,    91.000000,         0.0680,         0.0398,         1.7085,         0.0000,         0.0000,     1
   49.000000,    91.000000,         0.1300,         0.0234,         5.5649,         1.0000,         0.1300,     4
   61.000000,    91.000000,        -0.0777,         0.0232,        -3.3496,        -1.0000,        -0.0777,     4
   35.000000,    93.000000,         0.1240,         0.0439,         2.8246,         1.0000,         0.1240,     1
   59.000000,    93.000000,        -0.0965,         0.0533,        -1.8120,         0.0000,         0.0000,     2
   51.000000,    95.000000,        -0.0665,         0.0497,        -1.3385,         0.0000,         0.0000,     2
   39.000000,    97.000000,         0.0640,         0.0426,         1.5023,         0.0000,         0.0000,     1
   27.000000,    99.000000,         0.0740,         0.0250,         2.9600,         1.0000,         0.0740,     1
   37.000000,    99.000000,        -0.0910,         0.0130,        -7.0000,        -1.0000,        -0.0910,     1
   49.000000,    99.000000,        -0.0982,         0.0198,        -4.9642,        -1.0000,        -0.0982,     9
   51.000000,    99.000000,        -0.0890,         0.0395,        -2.2532,        -1.0000,        -0.0890,     2
   71.000000,    99.000000,         0.0240,         0.0386,         0.6213,         0.0000,         0.0000,     2
   23.000000,   101.000000,         0.1840,         0.0765,         2.4052,         1.0000,         0.1840,     1
   25.000000,   101.000000,         0.0270,         0.0842,         0.3207,         0.0000,         0.0000,     1
   27.000000,   101.000000,         0.0170,         0.0000,         0.0000,         0.0000,         0.0000,     1
   33.000000,   101.000000,         0.1600,         0.0313,         5.1082,         1.0000,         0.1600,     2
   47.000000,   101.000000,         0.0400,         0.0577,         0.6935,         0.0000,         0.0000,     2
   51.000000,   101.000000,        -0.0085,         0.0320,        -0.2660,         0.0000,         0.0000,     2
   27.000000,   103.000000,         0.2310,         0.0204,        11.3235,         1.0000,         0.2310,     1
   33.000000,   103.000000,         0.0150,         0.0364,         0.4121,         0.0000,         0.0000,     2
   49.000000,   103.000000,         0.0570,         0.0275,         2.0735,         1.0000,         0.0570,     4
   61.000000,   103.000000,         0.0150,         0.0236,         0.6354,         0.0000,         0.0000,     2
   35.000000,   105.000000,         0.0255,         0.0258,         0.9865,         0.0000,         0.0000,     2
   35.000000,   107.000000,         0.1190,         0.0380,         3.1316,         1.0000,         0.1190,     1
   39.000000,   107.000000,         0.0370,         0.0332,         1.1145,         0.0000,         0.0000,     1
   51.000000,   107.000000,         0.0470,         0.0368,         1.2764,         0.0000,         0.0000,     4
   25.000000,   109.000000,        -0.0030,         0.0668,        -0.0449,         0.0000,         0.0000,     1
   35.000000,   109.000000,        -0.0858,         0.0135,        -6.3447,        -1.0000,        -0.0858,     6
   37.000000,   109.000000,         0.2405,         0.0298,         8.0835,         1.0000,         0.2405,     2
   39.000000,   109.000000,         0.0350,         0.0704,         0.4972,         0.0000,         0.0000,     1
   53.000000,   109.000000,         0.1193,         0.0213,         5.5907,         1.0000,         0.1193,     4
   21.000000,   111.000000,         0.0090,         0.0144,         0.6270,         0.0000,         0.0000,     2
   25.000000,   111.000000,         0.1300,         0.0362,         3.5912,         1.0000,         0.1300,     1
   31.000000,   111.000000,         0.1300,         0.0582,         2.2337,         1.0000,         0.1300,     1
   41.000000,   111.000000,         0.2580,         0.0120,        21.5000,         1.0000,         0.2580,     1
   53.000000,   111.000000,        -0.0120,         0.0449,        -0.2672,         0.0000,         0.0000,     2
   55.000000,   111.000000,        -0.0225,         0.0295,        -0.7618,         0.0000,         0.0000,     2
   21.000000,   113.000000,        -0.0060,         0.0347,        -0.1729,         0.0000,         0.0000,     1
   23.000000,   113.000000,         0.0160,         0.0209,         0.7662,         0.0000,         0.0000,     3
   31.000000,   113.000000,         0.1215,         0.0300,         4.0438,         1.0000,         0.1215,     2
   41.000000,   113.000000,         0.0735,         0.0174,         4.2215,         1.0000,         0.0735,    13
   41.000000,   115.000000,         0.1797,         0.0410,         4.3768,         1.0000,         0.1797,     3
   23.000000,   117.000000,         0.1013,         0.0232,         4.3708,         1.0000,         0.1013,     3
   31.000000,   117.000000,         0.7420,         0.0214,        34.6729,         1.0000,         0.7420,     1
   39.000000,   117.000000,         0.1820,         0.0212,         8.5728,         1.0000,         0.1820,     3
   43.000000,   117.000000,         0.0010,         0.0348,         0.0287,         0.0000,         0.0000,     2
   49.000000,   117.000000,         0.2080,         0.0469,         4.4350,         1.0000,         0.2080,     1
   31.000000,   119.000000,        -0.0427,         0.0328,        -1.3015,         0.0000,         0.0000,     3
   33.000000,   119.000000,        -0.1257,         0.0196,        -6.4096,        -1.0000,        -0.1257,     3
   39.000000,   119.000000,         0.0177,         0.0417,         0.4239,         0.0000,         0.0000,     3
   41.000000,   119.000000,         0.0690,         0.0367,         1.8801,         0.0000,         0.0000,     1
   49.000000,   119.000000,        -0.2640,         0.1128,        -2.3404,        -1.0000,        -0.2640,     1
   23.000000,   121.000000,         0.0690,         0.0359,         1.9239,         0.0000,         0.0000,     3
   31.000000,   121.000000,         0.1049,         0.0151,         6.9283,         1.0000,         0.1049,     7
   37.000000,   121.000000,         0.0490,         0.0188,         2.6092,         1.0000,         0.0490,     2
   39.000000,   121.000000,        -0.0180,         0.0444,        -0.4054,         0.0000,         0.0000,     1
   63.000000,   121.000000,         0.0675,         0.0350,         1.9291,         0.0000,         0.0000,     2
   65.000000,   121.000000,         0.0175,         0.0196,         0.8931,         0.0000,         0.0000,     2
   45.000000,   123.000000,         0.0013,         0.0367,         0.0364,         0.0000,         0.0000,     3
   47.000000,   123.000000,        -0.0130,         0.0510,        -0.2549,         0.0000,         0.0000,     1
   63.000000,   123.000000,         0.0510,         0.0517,         0.9863,         0.0000,         0.0000,     2
   43.000000,   125.000000,         0.0547,         0.0262,         2.0860,         1.0000,         0.0547,     3
   57.000000,   125.000000,         0.0510,         0.0313,         1.6294,         0.0000,         0.0000,     2
   43.000000,   127.000000,         0.1520,         0.0161,         9.4410,         1.0000,         0.1520,     1
   49.000000,   129.000000,        -0.0250,         0.0168,        -1.4881,         0.0000,         0.0000,     1
   61.000000,   129.000000,         0.0410,         0.0181,         2.2627,         1.0000,         0.0410,     4
   63.000000,   129.000000,         0.0930,         0.0469,         1.9812,         0.0000,         0.0000,     2
   59.000000,   131.000000,        -0.0010,         0.0295,        -0.0339,         0.0000,         0.0000,     2
   47.000000,   133.000000,         0.0250,         0.0344,         0.7267,         0.0000,         0.0000,     1
   49.000000,   133.000000,         0.1640,         0.0352,         4.6591,         1.0000,         0.1640,     1
   49.000000,   135.000000,         0.1470,         0.0362,         4.0608,         1.0000,         0.1470,     1
   71.000000,   137.000000,         0.0405,         0.0120,         3.3783,         1.0000,         0.0405,     2
   65.000000,   141.000000,         0.0655,         0.0165,         3.9584,         1.0000,         0.0655,     2
   69.000000,   149.000000,         0.0425,         0.0255,         1.6638,         0.0000,         0.0000,     2
   71.000000,   157.000000,         0.0765,         0.0340,         2.2491,         1.0000,         0.0765,     2
