lat,lon,anom,row,col
-62.5,-58.5,-1.306666667,27,121
-54.5,-37.5,3.941071429,35,142
-53.5,-73.5,1.52644,36,106
-52.5,169.5,0.089645834,37,349
-50.5,-74.5,0.664666667,39,105
-50.5,6.5,-1.723037037,39,186
-49.5,-74.5,1.529100529,40,105
-43.5,51.5,-0.366666667,46,231
-42.5,146.5,0.435166667,47,326
-36.5,174.5,0.85,53,354
-34.5,17.5,-2.56205,55,197
-24.5,28.5,0.29225,65,208
-18.5,37.5,0.016666667,71,217
12.5,-61.5,0.122,102,118
14.5,57.5,0.95,104,237
14.5,123.5,0.273333333,104,303
18.5,57.5,0.0105,108,237
24.5,102.5,2.541714286,114,282
26.5,99.5,0.4202,116,279
32.5,-4.5,-0.215,122,175
33.5,-119.5,0.5335,123,60
33.5,-116.5,0.4405,123,63
33.5,-78.5,0.306616667,123,101
34.5,-95.5,0.760166667,124,84
34.5,97.5,0.401898333,124,277
36.5,100.5,5.457142857,126,280
37.5,-111.5,-0.633333333,127,68
37.5,-108.5,-0.665761667,127,71
37.5,-107.5,-1.065678571,127,72
37.5,96.5,-2.9555406,127,276
38.5,-119.5,0.284466667,128,60
38.5,-107.5,-1.241041667,128,72
38.5,-106.5,1.042066667,128,73
38.5,43.5,0.425551022,128,223
39.5,-114.5,-0.309577778,129,65
39.5,-105.5,0.747657143,129,74
40.5,-105.5,-2.18715,130,74
41.5,-86.5,-0.024,131,93
41.5,-84.5,0.20102381,131,95
41.5,-74.5,0.504543653,131,105
41.5,-73.5,0.47025,131,106
41.5,-70.5,0.085166667,131,109
41.5,-0.5,-3.944517004,131,179
41.5,23.5,-0.30071428,131,203
41.5,140.5,0.402713786,131,320
42.5,-109.5,-2.515,132,70
42.5,-73.5,-0.213615873,132,106
42.5,-72.5,0.876408163,132,107
42.5,-71.5,0.889583331,132,108
42.5,126.5,1.728614584,132,306
43.5,-95.5,-0.735063492,133,84
43.5,-93.5,-0.916583333,133,86
43.5,-89.5,0.407179167,133,90
43.5,-88.5,0.244375,133,91
43.5,-85.5,1.175383333,133,94
43.5,-80.5,-0.44925,133,99
43.5,-69.5,0.02275,133,110
43.5,-6.5,0.629196429,133,173
43.5,-3.5,-0.655428573,133,176
43.5,-2.5,-0.025714286,133,177
43.5,28.5,-5.571999996,133,208
43.5,40.5,3.228095233,133,220
44.5,-123.5,-0.118,134,56
44.5,-99.5,1.1069,134,80
44.5,-93.5,0.4375,134,86
44.5,-87.5,1.342666667,134,92
44.5,-78.5,-0.39735,134,101
44.5,-76.5,0.312055556,134,103
44.5,-70.5,0.247875,134,109
44.5,-69.5,-0.0015,134,110
44.5,7.5,3.499238093,134,187
44.5,10.5,1.696537698,134,190
45.5,-122.5,0.769270833,135,57
45.5,-120.5,1.524,135,59
45.5,-93.5,0.408111111,135,86
45.5,-79.5,0.5578125,135,100
45.5,-77.5,0.318833333,135,102
45.5,-73.5,0.501555555,135,106
45.5,-70.5,0.964071429,135,109
45.5,-68.5,0.585434127,135,111
45.5,5.5,0.182698412,135,185
46.5,-98.5,0.249775,136,81
46.5,-95.5,-0.30975,136,84
46.5,-94.5,1.312787501,136,85
46.5,-88.5,1.277142857,136,91
46.5,-87.5,1.388333333,136,92
46.5,-78.5,1.060452381,136,101
46.5,-77.5,1.0400625,136,102
46.5,-73.5,0.85375,136,106
46.5,-70.5,1.0455,136,109
46.5,6.5,0.699079368,136,186
46.5,7.5,2.084254249,136,187
46.5,8.5,3.562689343,136,188
46.5,10.5,0.529166668,136,190
46.5,11.5,3.093952382,136,191
46.5,17.5,-4.504642859,136,197
46.5,32.5,-3.271857147,136,212
46.5,152.5,-0.456997217,136,332
47.5,-93.5,1.298438889,137,86
47.5,-70.5,-0.074675,137,109
47.5,-64.5,0.881559524,137,115
47.5,-53.5,-0.1835,137,126
47.5,-2.5,4.437817464,137,177
47.5,-1.5,1.336619047,137,178
47.5,7.5,-1.179460316,137,187
47.5,8.5,2.075680272,137,188
47.5,11.5,2.04789966,137,191
47.5,12.5,-0.155714284,137,192
47.5,24.5,0.378666667,137,204
48.5,-124.5,-0.180013889,138,55
48.5,-123.5,-0.451111111,138,56
48.5,-64.5,0.876166667,138,115
48.5,-0.5,1.819761908,138,179
48.5,6.5,-0.037000001,138,186
48.5,8.5,2.000131478,138,188
49.5,-121.5,2.127666667,139,58
49.5,-120.5,0.84945,139,59
49.5,-117.5,0.904571429,139,62
49.5,-102.5,3.1546,139,77
49.5,-74.5,-0.175119048,139,105
49.5,-65.5,6.63925,139,114
49.5,-1.5,-0.248775511,139,178
49.5,-0.5,1.793571435,139,179
49.5,19.5,-1.934880954,139,199
49.5,21.5,2.440470521,139,201
49.5,25.5,1.306071425,139,205
49.5,117.5,0.0105,139,297
50.5,-99.5,2.224,140,80
50.5,-74.5,0.65137037,140,105
50.5,-66.5,2.1835,140,113
50.5,-56.5,1.380833333,140,123
50.5,-55.5,7.505145833,140,124
50.5,0.5,1.319979591,140,180
50.5,6.5,0.570792687,140,186
50.5,11.5,-1.936571428,140,191
50.5,16.5,-0.205000005,140,196
51.5,-100.5,2.679333333,141,79
51.5,23.5,0.962380953,141,203
52.5,-131.5,0.041866667,142,48
52.5,-67.5,-1.17125,142,112
52.5,-66.5,0.269166667,142,113
52.5,-58.5,2.94625,142,121
52.5,-56.5,0.1229,142,123
52.5,17.5,2.219008465,142,197
52.5,19.5,2.91929365,142,199
52.5,20.5,0.155488095,142,200
52.5,101.5,-0.376,142,281
53.5,-66.5,0.96425,143,113
53.5,8.5,-0.564571428,143,188
53.5,17.5,-0.8255,143,197
53.5,20.5,3.250476187,143,200
54.5,-101.5,1.357,144,78
54.5,-69.5,1.083183333,144,110
54.5,-69.5,0.4715,144,110
54.5,-6.5,-0.771944444,144,173
54.5,-2.5,-0.472,144,177
54.5,18.5,1.105309522,144,198
54.5,24.5,2.185428571,144,204
54.5,28.5,0.474285718,144,208
55.5,-119.5,1.49975,145,60
55.5,-75.5,-0.309533333,145,104
55.5,-73.5,0.26425,145,106
55.5,-63.5,0.301291667,145,116
55.5,-62.5,1.070514286,145,117
55.5,-14.5,1.25,145,165
55.5,13.5,-1.736666668,145,193
55.5,80.5,0.457075,145,260
56.5,-119.5,-1.452333333,146,60
56.5,-101.5,-1.34347619,146,78
56.5,-75.5,0.073020834,146,104
56.5,-74.5,0.609825,146,105
56.5,-64.5,0.256276191,146,115
56.5,-3.5,-0.306222222,146,176
57.5,-76.5,0.216464286,147,103
57.5,-75.5,-0.066666667,147,104
57.5,-3.5,-0.780476191,147,176
57.5,14.5,0.831785715,147,194
58.5,-75.5,0.702083333,148,104
58.5,-71.5,3.043,148,108
58.5,-65.5,0.692266667,148,114
58.5,-48.5,-0.03925,148,131
58.5,-20.5,0.071315171,148,159
58.5,-6.5,0.173285714,148,173
58.5,7.5,0.619316666,148,187
58.5,8.5,0.988472222,148,188
58.5,13.5,-0.28814286,148,193
58.5,22.5,1.636510203,148,202
58.5,26.5,0.067730158,148,206
58.5,27.5,0.718911561,148,207
59.5,-144.5,-0.995247703,149,35
59.5,-104.5,-0.027361111,149,75
59.5,6.5,1.264359167,149,186
59.5,7.5,1.066575,149,187
59.5,27.5,0.970714285,149,207
59.5,163.5,0.045515651,149,343
60.5,-150.5,0.7375,150,29
60.5,-129.5,-3.5421,150,50
60.5,-6.5,-1.648,150,173
60.5,3.5,0.057666667,150,183
60.5,7.5,2.623809524,150,187
60.5,10.5,1.024857143,150,190
60.5,15.5,-0.852444444,150,195
60.5,25.5,2.965333333,150,205
60.5,29.5,1.432633333,150,209
61.5,-145.5,-0.228930556,151,34
61.5,-143.5,0.27722,151,36
61.5,-138.5,1.002777778,151,41
61.5,-130.5,0.74775,151,49
61.5,-100.5,-0.398666667,151,79
61.5,-58.5,-0.411857143,151,121
61.5,-47.5,3.611583333,151,132
61.5,8.5,1.944095238,151,188
62.5,9.5,1.07675,152,189
62.5,10.5,0.874125,152,190
62.5,22.5,1.857714286,152,202
63.5,-65.5,0.399833333,153,114
63.5,9.5,1.527726191,153,189
63.5,12.5,0.79625,153,192
64.5,-145.5,-0.131375,154,34
64.5,-138.5,0.170395833,154,41
64.5,-128.5,1.8932,154,51
64.5,-127.5,0.357,154,52
64.5,-110.5,0.564829629,154,69
65.5,-138.5,0.113333333,155,41
65.5,-126.5,0.1868,155,53
66.5,-145.5,-0.183541313,156,34
66.5,-104.5,-0.720073333,156,75
66.5,-66.5,0.696047619,156,113
66.5,-51.5,-0.322749184,156,128
66.5,-20.5,0.548688571,156,159
66.5,7.5,-0.727435396,156,187
66.5,14.5,1.816666667,156,194
66.5,29.5,-2.308095238,156,209
66.5,36.5,-0.006416667,156,216
66.5,59.5,0.837833333,156,239
67.5,-153.5,3.339,157,26
67.5,-50.5,-0.0585,157,129
67.5,-30.5,0.758,157,149
67.5,18.5,1.074277778,157,198
67.5,20.5,-0.539,157,200
67.5,29.5,-0.845533333,157,209
67.5,32.5,0.5816,157,212
67.5,59.5,1.49625,157,239
67.5,62.5,0.975958333,157,242
68.5,-154.5,-1.159298973,158,25
68.5,-138.5,0.7749,158,41
68.5,-133.5,0.886785714,158,46
68.5,-106.5,1.447166667,158,73
68.5,-54.5,0.565555556,158,125
68.5,-29.5,0.639355556,158,150
68.5,13.5,-2.181249998,158,193
68.5,14.5,0.4008,158,194
68.5,16.5,0.72575,158,196
68.5,17.5,0.99525,158,197
68.5,18.5,1.084275,158,198
68.5,19.5,0.5472,158,199
68.5,20.5,-0.227176,158,200
68.5,22.5,0.261546296,158,202
68.5,35.5,0.2836,158,215
68.5,65.5,0.85165,158,245
69.5,-95.5,1.127662037,159,84
69.5,-50.5,1.40775,159,129
69.5,20.5,0.88652381,159,200
69.5,21.5,0.500277778,159,201
69.5,25.5,-0.06721,159,205
69.5,123.5,2.174816667,159,303
71.5,-113.5,0.052580667,161,66
71.5,14.5,0.033633333,161,194
71.5,22.5,0.2025,161,202
71.5,28.5,3.627777778,161,208
71.5,42.5,-0.137547619,161,222
71.5,127.5,1.980333333,161,307
72.5,-157.5,0.257777778,162,22
72.5,-155.5,-1.256977778,162,24
72.5,-119.5,0.09225,162,60
73.5,-162.5,0.967983333,163,17
73.5,-120.5,1.1058125,163,59
73.5,102.5,-1.497466667,163,282
73.5,124.5,3.27,163,304
75.5,-111.5,0.4881,165,68
75.5,-82.5,-0.729666667,165,97
75.5,14.5,-1.345166667,165,194
76.5,-68.5,3.47875,166,111
76.5,-67.5,2.3956,166,112
76.5,15.5,2.253666667,166,195
78.5,6.5,0.672,168,186
79.5,11.5,1.305828571,169,191